# Constructed from biom file
#OTU ID	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C4	C5	NTC	O1_1	O2	O3	O4	O5	O6	O7	O8	P1	P2	P3	P4	P5	P6	P7	P8	P9	R1	R2	R3	R4	R6	R7	R8	S1	S2	S3	S4	S5
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariales_fam_Incertae_sedis;g__Sordariales_gen_Incertae_sedis	34.0	47.0	66.0	354.0	41.0	77.0	62.0	227.0	197.0	30.0	113.0	142.0	74.0	0.0	102.0	107.0	298.0	75.0	147.0	48.0	304.0	49.0	67.0	133.0	62.0	89.0	60.0	81.0	38.0	32.0	35.0	27.0	31.0	88.0	65.0	78.0	47.0	65.0	165.0	75.0	135.0	52.0	62.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__Pyrigemmula	169.0	246.0	152.0	362.0	288.0	130.0	276.0	174.0	984.0	29.0	29.0	14.0	27.0	0.0	383.0	400.0	196.0	413.0	327.0	24.0	440.0	570.0	24.0	38.0	30.0	1070.0	15.0	30.0	24.0	40.0	20.0	49.0	36.0	38.0	57.0	30.0	65.0	52.0	229.0	257.0	269.0	186.0	214.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Hypomyces	10.0	8.0	0.0	14.0	3.0	0.0	6.0	0.0	4.0	223.0	411.0	462.0	353.0	0.0	4.0	0.0	9.0	15.0	38.0	515.0	7.0	15.0	496.0	606.0	548.0	15.0	330.0	502.0	411.0	459.0	340.0	388.0	1810.0	452.0	701.0	571.0	917.0	378.0	17.0	22.0	3.0	3.0	3.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales;__;__	13.0	23.0	14.0	6.0	56.0	6.0	11.0	22.0	49.0	144.0	251.0	127.0	116.0	0.0	16.0	11.0	20.0	30.0	42.0	198.0	94.0	49.0	217.0	201.0	226.0	38.0	158.0	173.0	123.0	156.0	136.0	271.0	128.0	170.0	185.0	194.0	134.0	179.0	60.0	8.0	58.0	22.0	15.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales;f__Pseudomassariaceae;g__Pseudomassaria	669.0	376.0	267.0	371.0	290.0	244.0	274.0	394.0	771.0	173.0	284.0	323.0	256.0	0.0	549.0	515.0	533.0	1225.0	754.0	2497.0	707.0	468.0	144.0	383.0	369.0	703.0	165.0	412.0	258.0	281.0	271.0	284.0	426.0	339.0	400.0	507.0	261.0	285.0	449.0	466.0	545.0	444.0	266.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium	100.0	0.0	92.0	109.0	66.0	71.0	85.0	16.0	370.0	0.0	0.0	0.0	0.0	0.0	103.0	0.0	37.0	109.0	115.0	0.0	146.0	100.0	5.0	17.0	0.0	161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.0	139.0	71.0	111.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;__;__	0.0	0.0	0.0	0.0	0.0	27.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomiaceae_gen_Incertae_sedis	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Hydropisphaera	0.0	0.0	4.0	8.0	0.0	5.0	7.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	4.0	0.0	0.0	7.0	12.0	4.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria	672.0	579.0	582.0	836.0	592.0	903.0	716.0	615.0	2348.0	338.0	884.0	455.0	483.0	0.0	664.0	1433.0	807.0	972.0	2560.0	505.0	1192.0	1095.0	494.0	674.0	729.0	1257.0	334.0	683.0	527.0	559.0	459.0	487.0	754.0	670.0	892.0	846.0	657.0	627.0	914.0	2737.0	714.0	837.0	272.0
